item_id, item_name, buy_date, supplier_name, supplier_contact, amount, supplier_price,
27, Whipped cream, 1-17-2020, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 86, 27.0,
2, Jasmine tea leaves, 11-20-2016, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 95, 48.0,
35, Gloves, 7-28-2026, CrystalCup Packaging, 555-639-4412, 24, 22.0,
24, Lychee syrup, 1-31-2018, SweetWave Syrup Co., https://www.sweetwaveco.com, 36, 24.0,
26, Ice, 11-23-2023, Golden Pearl Beverage Supply, 555-210-8745, 48, 10.0,
15, Coconut milk, 9-10-2024, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 31, 33.0,
26, Ice, 6-5-2024, Golden Pearl Beverage Supply, 555-210-8745, 56, 10.0,
25, Passion fruit syrup, 9-6-2014, SweetWave Syrup Co., https://www.sweetwaveco.com, 72, 24.0,
37, BBQ pork, 2-13-2025, Golden Pearl Beverage Supply, 555-210-8745, 87, 65.0,
22, Strawberry syrup, 12-25-2019, SweetWave Syrup Co., https://www.sweetwaveco.com, 52, 24.0,
22, Strawberry syrup, 7-7-2018, SweetWave Syrup Co., https://www.sweetwaveco.com, 79, 24.0,
24, Lychee syrup, 9-8-2023, SweetWave Syrup Co., https://www.sweetwaveco.com, 56, 24.0,
15, Coconut milk, 12-25-2015, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 85, 33.0,
14, Almond milk, 9-21-2025, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 84, 34.0,
14, Almond milk, 6-13-2021, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 29, 34.0,
15, Coconut milk, 3-16-2023, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 69, 33.0,
11, Condensed milk, 2-24-2019, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 70, 30.0,
21, Vanilla syrup, 4-10-2019, SweetWave Syrup Co., https://www.sweetwaveco.com, 90, 24.0,
32, Wide boba straws, 5-25-2017, CrystalCup Packaging, 555-639-4412, 44, 45.0,
26, Ice, 1-20-2013, Golden Pearl Beverage Supply, 555-210-8745, 44, 10.0,
33, Napkins, 12-8-2025, CrystalCup Packaging, 555-639-4412, 46, 20.0,
34, Sugar packets, 2-26-2026, CrystalCup Packaging, 555-639-4412, 26, 18.0,
22, Strawberry syrup, 5-28-2016, SweetWave Syrup Co., https://www.sweetwaveco.com, 80, 24.0,
31, Plastic lids, 5-18-2019, CrystalCup Packaging, 555-639-4412, 53, 50.0,
4, Tapioca pearls, 11-29-2014, BubbleBurst Tapioca Supply, info@bubblebursttapioca.com, 53, 38.0,
8, Brown sugar syrup, 6-22-2013, SweetWave Syrup Co., https://www.sweetwaveco.com, 62, 25.0,
13, Oat milk, 10-23-2019, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 60, 35.0,
27, Whipped cream, 7-26-2014, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 38, 27.0,
39, French fries, 10-21-2020, Golden Pearl Beverage Supply, 555-210-8745, 47, 40.0,
10, Honey, 9-22-2024, SweetWave Syrup Co., https://www.sweetwaveco.com, 51, 22.0,
37, BBQ pork, 8-3-2015, Golden Pearl Beverage Supply, 555-210-8745, 56, 65.0,
14, Almond milk, 8-9-2023, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 62, 34.0,
14, Almond milk, 7-3-2024, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 64, 34.0,
1, Green tea leaves, 6-8-2019, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 49, 42.5,
6, Popping boba (strawberry), 1-4-2020, Tropical Pop Toppings, 555-831-6640, 46, 32.0,
1, Green tea leaves, 11-20-2016, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 63, 42.5,
39, French fries, 5-16-2019, Golden Pearl Beverage Supply, 555-210-8745, 65, 40.0,
11, Condensed milk, 11-20-2017, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 99, 30.0,
24, Lychee syrup, 5-24-2016, SweetWave Syrup Co., https://www.sweetwaveco.com, 68, 24.0,
33, Napkins, 3-27-2013, CrystalCup Packaging, 555-639-4412, 88, 20.0,
22, Strawberry syrup, 5-14-2013, SweetWave Syrup Co., https://www.sweetwaveco.com, 74, 24.0,
21, Vanilla syrup, 10-17-2017, SweetWave Syrup Co., https://www.sweetwaveco.com, 82, 24.0,
30, Cup sealing film, 9-11-2013, CrystalCup Packaging, 555-639-4412, 46, 48.0,
14, Almond milk, 1-6-2017, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 24, 34.0,
4, Tapioca pearls, 12-29-2022, BubbleBurst Tapioca Supply, info@bubblebursttapioca.com, 60, 38.0,
8, Brown sugar syrup, 7-15-2024, SweetWave Syrup Co., https://www.sweetwaveco.com, 30, 25.0,
1, Green tea leaves, 6-16-2012, Jade Leaf Tea Wholesalers, orders@jadeleaftea.com, 36, 42.5,
39, French fries, 4-31-2022, Golden Pearl Beverage Supply, 555-210-8745, 89, 40.0,
6, Popping boba (strawberry), 2-20-2023, Tropical Pop Toppings, 555-831-6640, 100, 32.0,
36, Cleaning solution, 10-28-2026, CrystalCup Packaging, 555-639-4412, 71, 25.0,
12, Whole milk, 1-12-2026, MilkyWay Dairy Distributors, https://www.milkywaydairy.com, 52, 28.0,
